id,status,symbol,time,type,trend,price,balance_rate,try_count,order_id,strategy_id
123653,done,600519.XSHG,2005-06-22 13:29:00,buy,long,12.11,0.10,1,6909D80A-10C6-48D1-AECB-388456D3E4F2,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-22 13:29:00,buy,long,12.11,0.10,1,890DED23-9593-4C7C-A2CD-10555842792C,BFE3F9EB-F76E-4977-A481-A8B45705136F
123653,done,600519.XSHG,2005-06-22 14:59:00,buy,long,12.18,0.10,1,E4705DCC-08B4-4560-B21C-DD27FA500BF1,288316CB-3A74-4629-9C45-A07ACA8419AD
123653,done,600519.XSHG,2005-06-28 10:29:00,sell,long,12.48,0.00,1,D064AD19-C389-4AFA-B0C1-5D12D8356493,888E9951-3738-4CBF-8C12-9866EC1D787C
123653,done,600519.XSHG,2005-06-28 10:29:00,sell,long,12.48,0.00,1,F27C1B74-0B97-4111-AC00-671E304D2B2E,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-28 10:29:00,sell,long,12.48,0.00,1,6909D80A-10C6-48D1-AECB-388456D3E4F2,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-28 10:29:00,sell,long,12.48,0.00,1,EACB42D2-EBCF-4CAB-A1D9-9EC0F0BF8B68,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-28 10:29:00,sell,long,12.48,0.00,1,9CA4D968-FD69-4371-973A-50F2FAC0EF39,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-06-28 10:59:00,sell,long,12.42,0.00,1,D1CA6094-744E-41EC-B7BC-B4A71F908F2D,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-30 09:59:00,buy,long,12.44,0.10,1,507A4216-3939-42D9-8790-A9D331C2CB1F,0C5A98DB-D05D-4804-A04B-C419BEE6DD83
123653,done,600519.XSHG,2005-06-30 09:59:00,buy,long,12.44,0.10,1,1D7CAA99-F8F9-4C6B-872A-3E5BC71FB939,764B82E0-92D1-4E1C-A661-E34E348123C5
123653,done,600519.XSHG,2005-06-30 14:29:00,buy,long,12.48,0.10,1,D5B9A430-05D2-4E10-9953-A15EA3EAEFD3,7C4A195E-20DE-4E8C-B493-47D700437A46
123653,done,600519.XSHG,2005-06-30 14:29:00,buy,long,12.48,0.10,1,F1DC5032-A1DF-4752-833C-71F911116E35,555E038F-B5E5-4B99-AA10-DB157AD4B7BB
123653,done,600519.XSHG,2005-06-30 14:29:00,buy,long,12.48,0.10,1,8B2E9EAF-C27A-414F-9FD0-1BC4EBD09974,38DF7992-2198-40DF-A019-D5E05ACC1482
123653,done,600519.XSHG,2005-07-01 10:59:00,buy,long,12.22,0.10,1,13A8613A-B4C1-4456-965E-79640E109508,888E9951-3738-4CBF-8C12-9866EC1D787C
